0;29.25
249;29.75
500;29.25
751;29.75
1002;29.50
1253;29.75
1503;29.25
1754;29.50
2004;29.00
2255;29.75
2506;30.00
2757;29.50
3007;29.75
3258;29.50
3509;29.50
3760;29.75
4011;29.50
4261;29.25
4512;29.50
4762;29.50
5013;29.50
5264;29.50
5515;29.50
5766;29.75
6017;29.50
6267;29.75
6517;29.50
6768;29.50
7019;29.25
7270;29.50
7521;29.50
7772;29.50
8022;29.50
8272;29.75
8523;29.50
8774;28.75
9025;29.75
9276;29.50
9527;29.25
9777;29.50
10028;29.75
10278;29.00
10529;29.75
10780;29.75
11031;29.25
11282;29.75
11533;29.75
11784;29.50
12034;29.75
12284;29.50
12535;29.50
12786;29.00
13037;29.75
13288;29.50
13539;29.75
13790;29.75
14041;31.00
14291;35.25
14541;42.00
14792;49.25
15043;56.50
15294;63.75
15545;70.25
15796;76.25
16047;82.25
16297;87.25
16548;92.00
16799;96.50
17049;100.75
17300;104.25
17551;108.00
17802;111.00
18053;114.00
18304;117.00
18554;119.75
18805;122.00
19056;124.25
19307;126.50
19558;128.50
19809;130.25
20060;132.50
20311;133.25
20561;135.75
20812;137.00
21062;138.50
21313;139.75
21564;141.25
21815;142.50
22066;143.25
22317;145.00
22567;145.75
22818;146.75
23069;147.00
23320;148.25
23571;149.00
23822;150.00
24073;150.75
24324;151.00
24574;151.25
24825;152.25
25075;152.75
25326;153.25
25577;154.00
25828;154.00
26079;154.25
26330;155.00
26580;155.50
26831;156.25
27082;156.50
27333;157.00
27584;157.00
27835;157.50
28086;157.75
28337;157.75
28588;158.50
28838;158.75
29089;159.00
29340;159.25
29590;159.50
29841;160.25
30092;160.50
30343;160.50
30594;161.00
30844;160.75
31095;161.00
31346;161.25
31597;162.00
31848;162.00
32099;162.00
32350;162.75
32601;162.75
32851;162.25
33102;163.50
33353;163.75
33604;163.50
33854;163.75
34105;163.75
34356;163.75
34607;163.75
34857;163.50
35108;163.00
35359;163.00
35610;162.50
35861;162.00
36112;161.25
36363;160.50
36614;159.50
36865;158.50
37115;157.00
37366;155.75
37617;153.75
37868;152.00
38118;150.00
38369;148.25
38620;146.25
38871;143.50
39121;142.25
39372;139.50
39623;138.00
39874;136.50
40125;134.25
40376;132.50
40627;131.00
40878;129.25
41128;128.25
41379;127.00
41630;125.25
41881;124.25
42132;123.75
42382;122.50
42633;121.25
42884;120.50
43134;120.00
43385;119.50
43636;118.75
43887;117.75
44138;117.75
44389;117.00
44640;116.50
44891;116.00
45142;115.00
45392;115.00
45643;114.75
45894;114.50
46145;114.00
46396;113.75
46646;113.00
46897;113.25
47148;113.00
47398;112.50
47649;112.25
47900;112.25
48151;111.75
48402;111.75
48653;111.25
48904;111.25
49155;111.00
49405;110.75
49656;110.75
49907;111.00
50158;110.00
50409;110.75
50660;111.00
50910;110.50
51161;110.75
51411;110.25
51662;111.00
51913;110.00
52164;110.50
52415;110.50
52666;111.00
52917;110.50
53168;110.75
53419;111.25
53669;111.00
53920;111.00
54171;111.00
54422;111.25
54673;111.50
54923;111.25
55174;111.50
55425;111.25
55675;111.75
55926;111.75
56177;112.00
56428;112.00
56679;112.25
56930;112.00
57181;111.75
57432;112.50
57682;112.25
57933;112.50
58184;112.25
58435;112.75
58686;112.75
58937;112.75
59188;113.00
59438;112.75
