Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
93	6	0	2.325	0	0	0	0	0	5e-06	0	100	0	0	3
94	7	0	2.35	0	0	0	0	0	5e-06	0	100	0	0	3
95	7	0	2.375	0	0	0	0	0	5e-06	0	100	0	0	3
96	7	0	2.4	0	0	0	0	0	5e-06	0	100	0	0	3
97	7	0	2.425	0	0	0	0	0	5e-06	0	100	0	0	3
98	7	0	2.45	0	0	0	0	0	5e-06	0	100	0	0	3
99	7	0	2.475	0	0	0	0	0	5e-06	0	100	0	0	3
100	7	0	2.5	0	0	0	0	0	5e-06	0	100	0	0	3
101	7	0	2.525	0	0	0	0	0	5e-06	0	100	0	0	3
102	7	0	2.55	0	0	0	0	0	5e-06	0	100	0	0	3
103	7	0	2.575	0	0	0	0	0	5e-06	0	100	0	0	3
104	7	0	2.6	0	0	0	0	0	5e-06	0	100	0	0	3
105	7	0	2.625	0	0	0	0	0	5e-06	0	100	0	0	3
106	7	0	2.65	0	0	0	0	0	5e-06	0	100	0	0	3
107	7	0	2.675	0	0	0	0	0	5e-06	0	100	0	0	3
108	7	0	2.7	0	0	0	0	0	5e-06	0	100	0	0	3
109	7	0	2.725	0	0	0	0	0	5e-06	0	100	0	0	3
110	8	0	2.75	0	0	0	0	0	5e-06	0	100	0	0	3
111	8	0	2.775	0	0	0	0	0	5e-06	0	100	0	0	3
112	8	0	2.8	0	0	0	0	0	5e-06	0	100	0	0	3
113	8	0	2.825	0	0	0	0	0	5e-06	0	100	0	0	3
114	8	0	2.85	0	0	0	0	0	5e-06	0	100	0	0	3
115	8	0	2.875	0	0	0	0	0	5e-06	0	100	0	0	3
116	8	0	2.9	0	0	0	0	0	5e-06	0	100	0	0	3
117	8	0	2.925	0	0	0	0	0	5e-06	0	100	0	0	3
118	8	0	2.95	0	0	0	0	0	5e-06	0	100	0	0	3
119	8	0	2.975	0	0	0	0	0	5e-06	0	100	0	0	3
120	8	0	3	0	0	0	0	0	5e-06	0	100	0	0	3
121	8	0	3.025	0	0	0	0	0	5e-06	0	100	0	0	3
122	8	0	3.05	0	0	0	0	0	5e-06	0	100	0	0	3
123	8	0	3.075	0	0	0	0	0	5e-06	0	100	0	0	3
124	8	0	3.1	0	0	0	0	0	5e-06	0	100	0	0	3
125	8	0	3.125	0	0	0	0	0	5e-06	0	100	0	0	3
126	9	0	3.15	0	0	0	0	0	5e-06	0	100	0	0	3
127	9	0	3.175	0	0	0	0	0	5e-06	0	100	0	0	3
128	9	0	3.2	0	0	0	0	0	5e-06	0	100	0	0	3
129	9	0	3.225	0	0	0	0	0	5e-06	0	100	0	0	3
130	9	0	3.25	0	0	0	0	0	5e-06	0	100	0	0	3
131	9	0	3.275	0	0	0	0	0	5e-06	0	100	0	0	3
132	9	0	3.3	0	0	0	0	0	5e-06	0	100	0	0	3
133	9	0	3.325	0	0	0	0	0	5e-06	0	100	0	0	3
134	9	0	3.35	0	0	0	0	0	5e-06	0	100	0	0	3
135	9	0	3.375	0	0	0	0	0	5e-06	0	100	0	0	3
136	9	0	3.4	0	0	0	0	0	5e-06	0	100	0	0	3
137	9	0	3.425	0	0	0	0	0	5e-06	0	100	0	0	3
138	9	0	3.45	0	0	0	0	0	5e-06	0	100	0	0	3
139	9	0	3.475	0	0	0	0	0	5e-06	0	100	0	0	3
140	9	0	3.5	0	0	0	0	0	5e-06	0	100	0	0	3
141	9	0	3.525	0	0	0	0	0	5e-06	0	100	0	0	3
142	9	0	3.55	0	0	0	0	0	5e-06	0	100	0	0	3
143	10	0	3.575	0	0	0	0	0	5e-06	0	100	0	0	3
144	10	0	3.6	0	0	0	0	0	5e-06	0	100	0	0	3
145	10	0	3.625	0	0	0	0	0	5e-06	0	100	0	0	3
146	10	0	3.65	0	0	0	0	0	5e-06	0	100	0	0	3
147	10	0	3.675	0	0	0	0	0	5e-06	0	100	0	0	3
148	10	0	3.7	0	0	0	0	0	5e-06	0	100	0	0	3
149	10	0	3.725	0	0	0	0	0	5e-06	0	100	0	0	3
150	10	0	3.75	0	0	0	0	0	5e-06	0	100	0	0	3
151	10	0	3.775	0	0	0	0	0	5e-06	0	100	0	0	3
152	10	0	3.8	0	0	0	0	0	5e-06	0	100	0	0	3
153	10	0	3.825	0	0	0	0	0	5e-06	0	100	0	0	3
154	10	0	3.85	0	0	0	0	0	5e-06	0	100	0	0	3
155	10	0	3.875	0	0	0	0	0	5e-06	0	100	0	0	3
156	10	0	3.9	0	0	0	0	0	5e-06	0	100	0	0	3
157	10	0	3.925	0	0	0	0	0	5e-06	0	100	0	0	3
158	10	0	3.95	0	0	0	0	0	5e-06	0	100	0	0	3
159	10	0	3.975	0	0	0	0	0	5e-06	0	100	0	0	3
160	10	0	4	0	0	0	0	0	5e-06	0	100	0	0	3
