Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
59	4	0	1.475	3022724.17	3022873.64	3022724.17	3023066.28	342.104322	35.3654546	0	10.3	0	0	3
60	4	0	1.5	3022704.38	3022856.4	3022704.38	3023043.72	339.33447	35.6572614	0	10.5	0	0	3
61	5	0	1.525	3022690.64	3022839.59	3022690.64	3023024.11	333.476575	35.937311	0	10.7	0	0	3
62	5	0	1.55	3022684.07	3022823.4	3022684.07	3023000.31	316.244133	36.1806687	0	11.4	0	0	3
63	5	0	1.575	3022676.59	3022807.98	3022676.59	3022972.72	296.130885	36.3904751	0	12.2	0	0	3
64	5	0	1.6	3022674.86	3022793.8	3022674.86	3022947.77	272.910047	36.557523	0	13.3	0	0	3
65	5	0	1.625	3022677.57	3022780.93	3022674.86	3022923.58	248.715687	36.6840495	0	14.7	0	0	3
66	5	0	1.65	3022684.8	3022769.56	3022674.86	3022903.57	228.707041	36.7752813	0	16	0	0	3
67	5	0	1.675	3022675.74	3022758.71	3022674.86	3022881.17	206.306624	36.8286765	0	17.8	0	0	3
68	5	0	1.7	3022657.21	3022748.05	3022657.21	3022862.87	205.663821	36.8822591	0	17.9	0	0	3
69	5	0	1.725	3022629.51	3022736.93	3022629.51	3022845.54	216.029377	36.9567654	0	17.1	0	0	3
70	5	0	1.75	3022610.07	3022725.72	3022610.07	3022834.85	224.773544	37.0362078	0	16.4	0	0	3
71	5	0	1.775	3022593.14	3022714.21	3022593.14	3022822.7	229.556056	37.1177089	0	16.1	0	0	3
72	5	0	1.8	3022587.23	3022703	3022587.23	3022807.94	220.716172	37.1698975	0	16.8	0	0	3
73	5	0	1.825	3022582.16	3022692.25	3022582.16	3022793.86	211.702518	37.1907693	0	17.5	0	0	3
74	5	0	1.85	3022585.27	3022682.31	3022582.16	3022785.85	203.693416	37.173379	0	18.2	0	0	3
75	5	0	1.875	3022588.2	3022672.9	3022582.16	3022784.96	202.804396	37.1212645	0	18.3	0	0	3
76	5	0	1.9	3022593.95	3022663.88	3022582.16	3022784.96	202.804396	37.043116	0	18.2	0	0	3
77	6	0	1.925	3022595.22	3022654.85	3022582.16	3022780.83	198.669334	36.9318357	0	18.5	0	0	3
78	6	0	1.95	3022597.17	3022646.1	3022582.16	3022756.17	174.017223	36.7860638	0	21.1	0	0	3
79	6	0	1.975	3022592.8	3022638.32	3022582.16	3022724.17	142.015232	36.6113153	0	25.7	0	0	3
80	6	0	2	3022590.61	3022631.96	3022582.16	3022704.38	122.226527	36.4103904	0	29.7	0	0	3
81	6	0	2.025	3022587.07	3022626.38	3022582.16	3022690.64	108.479043	36.1896635	0	33.3	0	0	3
