Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
46	4	0	1.15	5.18950153e-06	4.62169105e-06	-1.24234191e-05	2.03045076e-05	5.12104923e-06	0.00922979187	0	100	0	0	3
47	4	0	1.175	1.2998312e-05	5.04884725e-06	-1.24234191e-05	2.03045076e-05	5.54820544e-06	0.0119120774	0	100	0	0	3
48	4	0	1.2	1.93614149e-05	6.26895303e-06	-1.24234191e-05	2.03045076e-05	6.76831122e-06	0.00924753497	0	100	0	0	3
49	4	0	1.225	1.21418296e-05	6.71248315e-06	-1.24234191e-05	2.03045076e-05	7.21184133e-06	0.0130362365	0	100	0	0	3
50	4	0	1.25	1.9967954e-05	6.87764302e-06	-1.24234191e-05	2.03045076e-05	7.3770012e-06	0.00872602732	0	100	0	0	3
51	4	0	1.275	2.33807104e-05	8.53367142e-06	-1.24234191e-05	2.33807104e-05	9.0330296e-06	0.0170149579	0	100	0	0	3
52	4	0	1.3	2.3133016e-05	1.0226835e-05	-1.22578894e-05	2.33807104e-05	1.07261932e-05	0.0101022548	0	100	0	0	3
53	4	0	1.325	1.00406847e-05	1.03847977e-05	-1.22578894e-05	2.33807104e-05	1.08841559e-05	0.0183378322	0	100	0	0	3
54	4	0	1.35	1.770068e-05	1.17744955e-05	-1.22578894e-05	2.33807104e-05	1.12810417e-05	0.0110255004	0	100	0	0	3
55	4	0	1.375	1.43346283e-05	1.14902155e-05	-1.22578894e-05	2.33807104e-05	1.11654442e-05	0.018387059	0	100	0	0	3
56	4	0	1.4	2.3705522e-05	1.19823605e-05	-1.22578894e-05	2.3705522e-05	1.13733093e-05	0.0121389143	0	100	0	0	3
57	4	0	1.425	-8.09803113e-07	1.25275074e-05	-8.09803113e-07	2.3705522e-05	1.17447701e-05	0.0188984008	0	100	0	0	3
58	4	0	1.45	7.64779014e-06	1.28396807e-05	-8.09803113e-07	2.3705522e-05	1.19035375e-05	0.0130161123	0	100	0	0	3
59	4	0	1.475	5.45984492e-06	1.2738639e-05	-8.09803113e-07	2.3705522e-05	1.11714052e-05	0.0180830877	0	100	0	0	3
60	4	0	1.5	1.194545e-05	1.27112303e-05	-8.09803113e-07	2.3705522e-05	1.07120925e-05	0.0137246313	0	100	0	0	3
61	5	0	1.525	8.3581733e-06	1.26473326e-05	-8.09803113e-07	2.3705522e-05	1.03536911e-05	0.018751548	0	100	0	0	3
