Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
59	4	0	1.475	293.200446	293.200302	293.200163	293.200446	0.000206734173	1.83586324e-05	0	8.8	0	0	3
60	4	0	1.5	293.200463	293.200316	293.200174	293.200463	0.000214835996	1.87159627e-05	0	8.7	0	0	3
61	5	0	1.525	293.200478	293.20033	293.200187	293.200478	0.000222678659	1.90758461e-05	0	8.5	0	0	3
62	5	0	1.55	293.200492	293.200345	293.200201	293.200492	0.000230033053	1.94324185e-05	0	8.4	0	0	3
63	5	0	1.575	293.200506	293.200359	293.200216	293.200506	0.000236810749	1.97859851e-05	0	8.3	0	0	3
64	5	0	1.6	293.200519	293.200374	293.200231	293.200519	0.000246085446	2.01341133e-05	0	8.1	0	0	3
65	5	0	1.625	293.200531	293.200388	293.200246	293.200531	0.000251715502	2.04753328e-05	0	8.1	0	0	3
66	5	0	1.65	293.200542	293.200402	293.20026	293.200542	0.000256627332	2.08073578e-05	0	8.1	0	0	3
67	5	0	1.675	293.200556	293.200416	293.200275	293.200556	0.000261008315	2.11381516e-05	0	8	0	0	3
68	5	0	1.7	293.200573	293.200431	293.20029	293.200573	0.000264989948	2.14714036e-05	0	8.1	0	0	3
69	5	0	1.725	293.200592	293.200445	293.200304	293.200592	0.000268731047	2.18110061e-05	0	8.1	0	0	3
70	5	0	1.75	293.200609	293.200459	293.200317	293.200609	0.000272213807	2.21531682e-05	0	8.1	0	0	3
71	5	0	1.775	293.200625	293.200474	293.200331	293.200625	0.00027543441	2.24954096e-05	0	8.1	0	0	3
72	5	0	1.8	293.200639	293.200489	293.200345	293.200639	0.000278239713	2.28305518e-05	0	8.2	0	0	3
73	5	0	1.825	293.200653	293.200503	293.20036	293.200653	0.000280643033	2.31578892e-05	0	8.2	0	0	3
74	5	0	1.85	293.200665	293.200518	293.200373	293.200665	0.000282640618	2.34743843e-05	0	8.3	0	0	3
75	5	0	1.875	293.200677	293.200532	293.200385	293.200677	0.000284351646	2.37808194e-05	0	8.3	0	0	3
76	5	0	1.9	293.200688	293.200547	293.200396	293.200688	0.000285833475	2.40753446e-05	0	8.4	0	0	3
77	6	0	1.925	293.2007	293.200561	293.200409	293.2007	0.000287140439	2.43580584e-05	0	8.4	0	0	3
78	6	0	1.95	293.200712	293.200576	293.200427	293.200712	0.000285594633	2.46283354e-05	0	8.6	0	0	3
79	6	0	1.975	293.200726	293.20059	293.200446	293.200726	0.000279723926	2.48896167e-05	0	8.8	0	0	3
80	6	0	2	293.200738	293.200604	293.200463	293.200738	0.000275898538	2.51415312e-05	0	9.1	0	0	3
81	6	0	2.025	293.200752	293.200618	293.200478	293.200752	0.000273579342	2.53814598e-05	0	9.2	0	0	3
82	6	0	2.05	293.200764	293.200631	293.200492	293.200764	0.000272422965	2.56078864e-05	0	9.4	0	0	3
83	6	0	2.075	293.200778	293.200645	293.200506	293.200778	0.000271637317	2.58210276e-05	0	9.5	0	0	3
84	6	0	2.1	293.20079	293.200658	293.200519	293.20079	0.000271187754	2.60209316e-05	0	9.5	0	0	3
85	6	0	2.125	293.200802	293.200672	293.200531	293.200802	0.00027136403	2.62078445e-05	0	9.6	0	0	3
86	6	0	2.15	293.200814	293.200685	293.200542	293.200814	0.000272376162	2.63833299e-05	0	9.6	0	0	3
87	6	0	2.175	293.200826	293.200699	293.200556	293.200826	0.000269977084	2.65475014e-05	0	9.8	0	0	3
