0;33.50
249;33.75
500;33.25
751;33.75
1002;33.75
1253;33.75
1503;33.75
1754;33.75
2004;33.50
2255;33.50
2506;33.75
2757;33.75
3007;33.75
3258;33.75
3509;35.25
3760;41.25
4011;49.25
4261;58.75
4512;68.75
4762;78.00
5013;86.25
5264;92.50
5515;98.75
5766;104.00
6017;108.50
6267;112.75
6518;116.50
6768;120.00
7019;123.00
7270;126.25
7521;129.00
7772;130.75
8023;133.75
8273;136.25
8524;136.50
8775;139.00
9026;140.00
9276;139.75
9527;140.75
9778;142.00
10029;141.75
10279;142.50
10530;143.25
10781;143.00
11032;143.25
11283;143.75
11534;144.75
11785;144.25
12036;144.50
12286;145.25
12537;145.00
12787;145.25
13038;145.25
13289;145.00
13540;145.50
13791;145.75
14042;145.25
14292;145.25
14543;145.00
14794;144.75
15045;145.25
15296;144.75
15547;144.25
15798;143.25
16049;142.75
16300;142.00
16550;140.75
16801;139.25
17051;137.75
17302;136.25
17553;134.75
17804;132.75
18055;131.00
18306;128.50
18556;127.00
18807;125.50
19058;123.75
19309;122.50
19560;121.75
19811;120.00
20062;120.00
20313;118.75
20563;117.25
20814;117.00
21065;116.75
21315;115.50
21566;115.25
21817;114.75
22068;114.00
22319;113.50
22569;113.00
22820;112.75
23071;112.00
23322;112.00
23573;112.25
23824;111.50
24075;111.00
24326;111.50
24577;111.50
24827;111.25
25078;111.50
25329;111.50
25579;111.75
25830;111.50
26081;111.75
26332;112.00
26583;111.25
26833;111.50
27084;111.75
27335;112.00
27586;112.25
27837;112.50
28088;112.50
28339;112.00
28590;112.50
28840;113.00
29091;113.00
29342;113.25
29593;113.25
